Начало простоя,Конец простоя,Reason 3 (ID),Reason 3 (ENG),Описание,Длительность,Название детали
2020-12-22 11:45:06,2020-12-22 11:47:43,2010004.0,Breakdowns,Замена нагнетательного дросселя №39,3,Нагнетательный дроссель - №39
2020-12-24 22:28:08,2020-12-24 22:31:16,2010004.0,Breakdowns,Замена тормозной пластины №73,3,Тормозная пластина - №73
2020-12-24 22:53:20,2020-12-24 22:56:48,2010004.0,Breakdowns,Замена двух дросселей №73,3,Дроссели - №73
2020-12-28 20:46:55,2020-12-28 20:50:12,2010004.0,Breakdowns,Мех. Замена сбросных углекислотных дросселей. 96/100,3,"Сбросные углекислотные дроссели - №96, 100"
2021-01-06 17:49:48,2021-01-06 17:54:13,2010004.0,Breakdowns,Замена нагнетательного дросселя №86,4,Нагнетательный дроссель - №86
2021-01-07 14:47:19,2021-01-07 14:49:38,2010004.0,Breakdowns,Замена нагнетательного дросселя №75,2,Нагнетательный дроссель - №75
2021-01-19 17:25:39,2021-01-19 17:31:15,2010004.0,Breakdowns,МЕХ. Устранение недолива. 25/26. Замена сбостного дросселя.,6,"Сбросной дроссель - №25, 26"
2021-01-22 01:59:40,2021-01-22 02:04:00,2010004.0,Breakdowns,Недолив 106. Замена тормозной пластины.,4,Тормозная пластина - №106
2021-02-08 12:12:56,2021-02-08 12:15:40,2010004.0,Breakdowns,Замена тормозной пластины №43,3,Тормозная пластина - №43
2021-02-08 12:54:18,2021-02-08 12:57:37,2010004.0,Breakdowns,Замена сбросного дросселя №43,3,Сбросной дроссель - №43
2021-02-09 04:12:26,2021-02-09 04:15:02,2010004.0,Breakdowns,Мех. замена дросселя СО2 на 5 наполнителе.,3,Дроссель CO2 - №5
2021-02-23 20:08:59,2021-02-23 20:12:13,2010004.0,Breakdowns,Замена сбросных дросселей. №79/38,3,"Сбросные дроссели - №79, 38"
2021-03-15 10:59:48,2021-03-15 11:01:57,2010004.0,Breakdowns,Мех. Замена углекислотного дросселя нагнетаничя. №57.,2,Углекислотный дроссель нагнетания - №57
2021-03-23 08:13:25,2021-03-23 08:16:30,2010004.0,Breakdowns,Мех. Пустая банка. №51. Замена углекислотного дросселя. Нагнетания.,3,Углекислотный дроссель нагнетания - №51
2021-03-23 08:17:47,2021-03-23 08:26:22,2010004.0,Breakdowns,Кип. Не закрыта передняя облицовачная дверь блока розлива.,9,-
2021-03-23 17:18:14,2021-03-23 17:22:54,2010004.0,Breakdowns,Мех. Пустая банка. №1. Замена углекислотного дросселя. Нагнетания.,5,Углекислотный дроссель нагнетания - №1
2021-04-06 02:31:59,2021-04-06 02:34:19,2010004.0,Breakdowns,замена стакана на 66 наполнителе.,2,Стакан - №66
2021-04-06 02:36:12,2021-04-06 02:38:21,2010004.0,Breakdowns,замена стакана на 66 наполнителе.,2,Стакан - №66
2021-04-08 14:06:36,2021-04-08 14:12:12,2010004.0,Breakdowns,Мех. Недоливы. 79.16. Замена тормозных пластин.,6,"Тормозные пластины - №79, 16"
2021-04-20 16:00:41,2021-04-20 16:02:46,2010004.0,Breakdowns,Замена нагнетательного дросселя №42,2,Нагнетательный дроссель - №42
2021-04-30 13:19:06,2021-04-30 13:25:29,2010004.0,Breakdowns,Замена дросиля на 11 наполнителе,6,Дроссель - №11
2021-04-30 19:06:10,2021-04-30 19:08:49,2010004.0,Breakdowns,Замена дросиля на 03 наполнителе,3,Дроссель - №03
2021-05-01 21:32:16,2021-05-01 21:36:39,2010004.0,Breakdowns,замена трмозной пластины 23 нап,4,Тормозная пластина - №23
2021-05-07 12:34:07,2021-05-07 12:42:45,2010004.0,Breakdowns,"Замена обоих дросселей №№ 43, 63",9,"Дроссели - №43, 63"
2021-05-11 06:34:59,2021-05-11 06:37:58,2010004.0,Breakdowns,Замена нагнетательного дросселя №72,3,Нагнетательный дроссель - №72
2021-05-14 09:45:17,2021-05-14 09:49:26,2010004.0,Breakdowns,замена датчика закатки,4,Датчик закатки -
2021-05-14 11:49:19,2021-05-14 12:46:58,2010004.0,Breakdowns,замена цепи банки,58,Цепь -
2021-06-02 06:23:33,2021-06-02 06:30:01,2010004.0,Breakdowns,Мех. Замена двух дросселей СО2 на 2 и 100 наполнителях.,6,"Дроссели СО2 - №2, 100"
2021-06-04 10:10:32,2021-06-04 10:12:53,2010004.0,Breakdowns,МЕХ. Недолив №39. Замена углекислотного дросселя.,2,Углекислотный дроссель - №39
2021-06-04 10:27:47,2021-06-04 10:30:35,2010004.0,Breakdowns,МЕХ. Пустые банки в хаотичном порядке.,3,-
