Начало простоя,Длительность,Название детали,Поломка
2020-12-14 14:27:43,4,"Сбросные дроссели - №84, 86",1
2020-12-15 14:27:43,0,Нет поломки,0
2020-12-17 00:40:09,6,"Сбросные дроссели - №38, 96, 106, 107",1
2020-12-17 08:22:54,3,Сбросной дроссель - №41,1
2020-12-17 19:45:05,3,Углекислотный дроссель - №10,1
2020-12-18 19:45:05,0,Нет поломки,0
2020-12-19 19:45:05,0,Нет поломки,0
2020-12-20 19:45:05,0,Нет поломки,0
2020-12-22 11:45:06,3,Нагнетательный дроссель - №39,1
2020-12-23 11:45:06,0,Нет поломки,0
2020-12-24 22:28:08,3,Тормозная пластина - №73,1
2020-12-24 22:53:20,3,Дроссели - №73,1
2020-12-25 22:53:20,0,Нет поломки,0
2020-12-26 22:53:20,0,Нет поломки,0
2020-12-28 20:46:55,3,"Сбросные углекислотные дроссели - №96, 100",1
2020-12-29 20:46:55,0,Нет поломки,0
2020-12-30 20:46:55,0,Нет поломки,0
2020-12-31 20:46:55,0,Нет поломки,0
2021-01-01 20:46:55,0,Нет поломки,0
2021-01-02 20:46:55,0,Нет поломки,0
2021-01-03 20:46:55,0,Нет поломки,0
2021-01-04 20:46:55,0,Нет поломки,0
2021-01-06 17:49:48,4,Нагнетательный дроссель - №86,1
2021-01-07 14:47:19,2,Нагнетательный дроссель - №75,1
2021-01-08 14:47:19,0,Нет поломки,0
2021-01-09 14:47:19,0,Нет поломки,0
2021-01-10 14:47:19,0,Нет поломки,0
2021-01-11 14:47:19,0,Нет поломки,0
2021-01-12 14:47:19,0,Нет поломки,0
2021-01-13 14:47:19,0,Нет поломки,0
2021-01-14 14:47:19,0,Нет поломки,0
2021-01-15 14:47:19,0,Нет поломки,0
2021-01-16 14:47:19,0,Нет поломки,0
2021-01-17 14:47:19,0,Нет поломки,0
2021-01-18 14:47:19,0,Нет поломки,0
2021-01-19 17:25:39,6,"Сбросной дроссель - №25, 26",1
2021-01-20 17:25:39,0,Нет поломки,0
2021-01-22 01:59:40,4,Тормозная пластина - №106,1
2021-01-23 01:59:40,0,Нет поломки,0
2021-01-24 01:59:40,0,Нет поломки,0
2021-01-25 01:59:40,0,Нет поломки,0
2021-01-26 01:59:40,0,Нет поломки,0
2021-01-27 01:59:40,0,Нет поломки,0
2021-01-28 01:59:40,0,Нет поломки,0
2021-01-29 01:59:40,0,Нет поломки,0
2021-01-30 01:59:40,0,Нет поломки,0
2021-01-31 01:59:40,0,Нет поломки,0
2021-02-01 01:59:40,0,Нет поломки,0
2021-02-02 01:59:40,0,Нет поломки,0
2021-02-03 01:59:40,0,Нет поломки,0
2021-02-04 01:59:40,0,Нет поломки,0
2021-02-05 01:59:40,0,Нет поломки,0
